cpu%,mem%
87.0,1.0
119,3.6
303,4.9
473,5.8
150,7.7
40.0,6.7
24.1,7.0
168,6.9
65.5,7.6
20.6,7.6
65.5,7.8
34.4,7.8
27.5,7.8
124,7.8
31.0,7.0
50.0,7.7
72.4,7.5
13.3,7.3
0.0,7.3
3.3,7.3
0.0,7.3
0.0,7.3
3.2,7.2
89.6,7.2
0.0,7.0
0.0,7.0
0.0,7.0
3.4,7.0
3.3,7.0
0.0,7.0
